Country,Year,Status,Count,Share of Total (Of Same Status)
India,2008,Withdrawn,593,28.74%
India,2009,Withdrawn,1174,34.64%
India,2010,Withdrawn,1085,39.66%
India,2011,Withdrawn,1356,45.81%
India,2012,Withdrawn,1780,54.52%
India,2013,Withdrawn,1653,53.76%
India,2014,Withdrawn,1915,47.68%
India,2015,Withdrawn,2119,48.58%
India,2016,Withdrawn,1885,40.54%
India,2017,Withdrawn,1453,40.58%
India,2018,Withdrawn,1524,38.38%
India,2019,Withdrawn,1079,33.15%
India,2020,Withdrawn,1324,35.31%
India,2021,Withdrawn,1425,39.90%
India,2022,Withdrawn,2315,41.77%
India,2023,Withdrawn,2757,35.45%
India,2024,Withdrawn,448,42.79%
China,2008,Withdrawn,106,5.14%
China,2009,Withdrawn,205,6.05%
China,2010,Withdrawn,168,6.14%
China,2011,Withdrawn,158,5.34%
China,2012,Withdrawn,179,5.48%
China,2013,Withdrawn,164,5.33%
China,2014,Withdrawn,337,8.39%
China,2015,Withdrawn,374,8.57%
China,2016,Withdrawn,389,8.37%
China,2017,Withdrawn,314,8.77%
China,2018,Withdrawn,313,7.88%
China,2019,Withdrawn,305,9.37%
China,2020,Withdrawn,376,10.03%
China,2021,Withdrawn,421,11.79%
China,2022,Withdrawn,724,13.06%
China,2023,Withdrawn,791,10.17%
China,2024,Withdrawn,112,10.70%
South Korea,2008,Withdrawn,257,12.46%
South Korea,2009,Withdrawn,275,8.11%
South Korea,2010,Withdrawn,237,8.66%
South Korea,2011,Withdrawn,312,10.54%
South Korea,2012,Withdrawn,281,8.61%
South Korea,2013,Withdrawn,248,8.07%
South Korea,2014,Withdrawn,420,10.46%
South Korea,2015,Withdrawn,587,13.46%
South Korea,2016,Withdrawn,999,21.48%
South Korea,2017,Withdrawn,495,13.82%
South Korea,2018,Withdrawn,323,8.13%
South Korea,2019,Withdrawn,192,5.90%
South Korea,2020,Withdrawn,209,5.57%
South Korea,2021,Withdrawn,162,4.54%
South Korea,2022,Withdrawn,143,2.58%
South Korea,2023,Withdrawn,241,3.10%
South Korea,2024,Withdrawn,33,3.15%
Mexico,2008,Withdrawn,188,9.11%
Mexico,2009,Withdrawn,362,10.68%
Mexico,2010,Withdrawn,92,3.36%
Mexico,2011,Withdrawn,117,3.95%
Mexico,2012,Withdrawn,77,2.36%
Mexico,2013,Withdrawn,68,2.21%
Mexico,2014,Withdrawn,92,2.29%
Mexico,2015,Withdrawn,93,2.13%
Mexico,2016,Withdrawn,99,2.13%
Mexico,2017,Withdrawn,75,2.09%
Mexico,2018,Withdrawn,176,4.43%
Mexico,2019,Withdrawn,125,3.84%
Mexico,2020,Withdrawn,272,7.25%
Mexico,2021,Withdrawn,222,6.22%
Mexico,2022,Withdrawn,309,5.58%
Mexico,2023,Withdrawn,333,4.28%
Mexico,2024,Withdrawn,53,5.06%
India,2008,Denied,1676,15.62%
India,2009,Denied,971,18.13%
India,2010,Denied,1981,23.47%
India,2011,Denied,2944,28.35%
India,2012,Denied,3420,39.57%
India,2013,Denied,2806,47.77%
India,2014,Denied,1761,40.49%
India,2015,Denied,2107,35.12%
India,2016,Denied,1531,27.54%
India,2017,Denied,1849,28.83%
India,2018,Denied,1438,22.99%
India,2019,Denied,1035,18.70%
India,2020,Denied,759,18.02%
India,2021,Denied,1077,26.01%
India,2022,Denied,831,18.17%
India,2023,Denied,896,14.08%
India,2024,Denied,1001,20.46%
China,2008,Denied,353,3.29%
China,2009,Denied,199,3.72%
China,2010,Denied,338,4.01%
China,2011,Denied,425,4.09%
China,2012,Denied,346,4.00%
China,2013,Denied,205,3.49%
China,2014,Denied,193,4.44%
China,2015,Denied,456,7.60%
China,2016,Denied,525,9.44%
China,2017,Denied,403,6.28%
China,2018,Denied,374,5.98%
China,2019,Denied,342,6.18%
China,2020,Denied,282,6.69%
China,2021,Denied,224,5.41%
China,2022,Denied,235,5.14%
China,2023,Denied,300,4.71%
China,2024,Denied,221,4.52%
South Korea,2008,Denied,508,4.73%
South Korea,2009,Denied,260,4.85%
South Korea,2010,Denied,454,5.38%
South Korea,2011,Denied,597,5.75%
South Korea,2012,Denied,571,6.61%
South Korea,2013,Denied,392,6.67%
South Korea,2014,Denied,287,6.60%
South Korea,2015,Denied,786,13.10%
South Korea,2016,Denied,734,13.20%
South Korea,2017,Denied,917,14.30%
South Korea,2018,Denied,539,8.62%
South Korea,2019,Denied,507,9.16%
South Korea,2020,Denied,191,4.53%
South Korea,2021,Denied,128,3.09%
South Korea,2022,Denied,143,3.13%
South Korea,2023,Denied,180,2.83%
South Korea,2024,Denied,120,2.45%
Mexico,2008,Denied,2791,26.01%
Mexico,2009,Denied,1136,21.21%
Mexico,2010,Denied,1554,18.41%
Mexico,2011,Denied,1492,14.37%
Mexico,2012,Denied,823,9.52%
Mexico,2013,Denied,528,8.99%
Mexico,2014,Denied,317,7.29%
Mexico,2015,Denied,428,7.13%
Mexico,2016,Denied,460,8.27%
Mexico,2017,Denied,426,6.64%
Mexico,2018,Denied,677,10.82%
Mexico,2019,Denied,494,8.93%
Mexico,2020,Denied,402,9.54%
Mexico,2021,Denied,507,12.24%
Mexico,2022,Denied,433,9.47%
Mexico,2023,Denied,796,12.51%
Mexico,2024,Denied,795,16.25%
India,2008,Certified-Expired,9371,33.33%
India,2009,Certified-Expired,4984,37.03%
India,2010,Certified-Expired,14058,37.41%
India,2011,Certified-Expired,20746,50.42%
India,2012,Certified-Expired,30277,55.47%
India,2013,Certified-Expired,12558,58.52%
India,2014,Certified-Expired,14978,55.44%
India,2015,Certified-Expired,22957,60.87%
India,2016,Certified-Expired,31485,55.06%
India,2017,Certified-Expired,24927,54.75%
India,2018,Certified-Expired,18456,49.40%
India,2019,Certified-Expired,20609,53.94%
India,2020,Certified-Expired,16227,50.17%
India,2021,Certified-Expired,16461,49.77%
India,2022,Certified-Expired,30770,56.96%
India,2023,Certified-Expired,26773,54.01%
India,2024,Certified-Expired,24598,48.41%
China,2008,Certified-Expired,2118,7.53%
China,2009,Certified-Expired,1022,7.59%
China,2010,Certified-Expired,2274,6.05%
China,2011,Certified-Expired,2419,5.88%
China,2012,Certified-Expired,3354,6.15%
China,2013,Certified-Expired,1356,6.32%
China,2014,Certified-Expired,1886,6.98%
China,2015,Certified-Expired,2828,7.50%
