Year,Africa,Europe,Middle East,Australia-Oceania,Americas,Asia,Region and country or economy unknown
2002,0.59,0.695,0.545,0.5489999999999999,0.491,0.742,0.20800000000000002
2003,0.579,0.691,0.518,0.503,0.507,0.716,0.574
2004,0.546,0.662,0.5,0.62,0.512,0.74,0.128
2005,0.614,0.7120000000000001,0.599,0.575,0.527,0.76,0.33299999999999996
2006,0.653,0.7020000000000001,0.613,0.635,0.545,0.789,0.34
2007,0.6829999999999999,0.6809999999999999,0.636,0.639,0.5820000000000001,0.8,0.496
2008,0.654,0.6779999999999999,0.652,0.6779999999999999,0.575,0.792,0.377
2009,0.6629999999999999,0.626,0.6709999999999999,0.662,0.562,0.757,0.43
2010,0.629,0.642,0.603,0.5870000000000001,0.56,0.7440000000000001,0.434
2011,0.642,0.643,0.613,0.615,0.573,0.745,0.376
2012,0.6629999999999999,0.653,0.654,0.652,0.56,0.748,0.415
2013,0.652,0.623,0.652,0.588,0.563,0.75,0.254
2014,0.6679999999999999,0.634,0.659,0.45299999999999996,0.556,0.758,0.247
2015,0.664,0.614,0.669,0.5539999999999999,0.557,0.76,0.478
2016,0.706,0.627,0.639,0.615,0.575,0.7809999999999999,0.124
2017,0.71,0.674,0.621,0.62,0.5660000000000001,0.8,0.613
2018,0.7070000000000001,0.633,0.623,0.5760000000000001,0.6,0.775,0.455
2019,0.72,0.644,0.5660000000000001,0.716,0.607,0.772,0.49700000000000005
2020,0.725,0.674,0.58,0.638,0.601,0.79,0.489
2021,0.725,0.674,0.58,0.638,0.601,0.79,0.489
2022,0.7859999999999999,0.6890000000000001,0.62,0.5529999999999999,0.68,0.7829999999999999,0.526
2023,0.8640000000000001,0.672,0.615,0.6559999999999999,0.703,0.799,0.61
2024,0.865,0.664,0.5529999999999999,0.625,0.693,0.8,0.569
