fig_no,Actual Figure,title,source_short,source_long,first_year,last_year
FIG000,Figure 0.00,Total Inbound Internationally Mobile Tertiary Students,"UNESCO Institute for Statistics, ""Total Inbound Internationally Mobile Tertiary Students,""","UNESCO Institute for Statistics, ""Total Outbound Internationally Mobile Tertiary Students Studying Abroad, All Countries, Both Sexes (UIS Estimate) (Number),"" UIS.Stat Database, data compiled by the authors by country over time, 2026, https://data.uis.unesco.org/.",2023,2023
FIG001,Figure 0.01,N/A,N/A,N/A,N/A,N/A
,,,,,,
FIG101,Figure 1.01,How Many Research Doctorates Are Awarded by US Universities?,"NCSES, Survey of Earned Doctorates; Thurgood, Golladay, and Hill, US Doctorates in the 20th Century, 2006.","National Center for Science and Engineering Statistics, Survey of Earned Doctorates Data Tables (US National Science Foundation, 2010–2024), data tables compiled by the authors across available survey years, https://ncses.nsf.gov/surveys/earned-doctorates; Delores H. Thurgood, Mary J. Golladay, and Susan T. Hill, US Doctorates in the 20th Century, NSF 06-319 (Arlington, VA: National Science Foundation, 2006), https://www.nsf.gov/statistics/nsf06319/.",1904,2024
FIG102,Figure 1.02,How Has American Degree Production Changed Over Time?,"NCES Digest of Education Statistics Table 318.10 and IPEDS Completions","National Center for Education Statistics, ""Integrated Postsecondary Education Data System (IPEDS) Completions Component"" (US Department of Education, 1995–2024), compiled by the authors using Python from annual IPEDS Completions survey files, https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx?year=-1&surveyNumber=3&sid=bd7f629c-c359-478c-a31c-7a82876497ed&rtid=7.",1900,2025
FIG103,Figure 1.03,How Many STEM Degrees Are Awarded in the United States?,"NCES, IPEDS Completions, 1995–2024.","National Center for Education Statistics, ""Integrated Postsecondary Education Data System (IPEDS) Completions Component"" (US Department of Education, 1995–2024), compiled by the authors using Python from annual IPEDS Completions survey files, https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx?year=-1&surveyNumber=3&sid=bd7f629c-c359-478c-a31c-7a82876497ed&rtid=7.",1995,2025
FIG104,Figure 1.04,How Has International Enrollment in US Higher Education Grown?,"IIE, ""International Student Enrollment Trends,"" Open Doors, 2025.","Institute of International Education, ""International Student Enrollment Trends, 1948/49–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/enrollment-trends/.",1950,2025
FIG105,Figure 1.05,What Share of All Degrees Awarded in the US Are Earned by International Students?,"NCES, IPEDS Completions (bachelor's, master's) and NSF, Survey of Earned Doctorates (doctorates), 1995-2025.","National Center for Education Statistics, ""Integrated Postsecondary Education Data System (IPEDS) Completions Component"" (US Department of Education, 1995–2024), compiled by the authors using Python from annual IPEDS Completions survey files, https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx?year=-1&surveyNumber=3&sid=bd7f629c-c359-478c-a31c-7a82876497ed&rtid=7.",1995,2024
FIG106,Figure 1.06,What Share of STEM Degrees Awarded in the US Are Earned by International Students?,"NCES, IPEDS Completions (bachelor's, master's) and NSF, Survey of Earned Doctorates (doctorates), 1995-2025.","National Center for Education Statistics, ""Integrated Postsecondary Education Data System (IPEDS) Completions Component"" (US Department of Education, 1995–2024), compiled by the authors using Python from annual IPEDS Completions survey files, https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx?year=-1&surveyNumber=3&sid=bd7f629c-c359-478c-a31c-7a82876497ed&rtid=7.",1995,2025
FIG107,Figure 1.07,Which Country Will Produce More STEM PhDs by 2050?,"NSB, ""International Comparisons of S&E Higher Education,"" Science and Engineering Indicators 2024; authors' projections beyond reported figures.","National Science Board, ""International Comparisons of S&E Higher Education,"" in Higher Education in Science and Engineering, NSB-2023-32, Science and Engineering Indicators 2024 (US National Science Foundation, 2023), 53–62, https://ncses.nsf.gov/pubs/nsb202332/international-comparisons-of-s-e-higher-education#educational-attainment; original data appear on p. 56, and projections beyond the reported figures were generated by the author.",2011,2050
