Chapter,Page,StatID,Section,Measure,Source,EarlierYear,LatestYear,Earlier,Latest,Change,EndpointRule,AuditFlag
Chapter 1,1,research_doctorates,Expansion of US higher education,Research doctorates awarded,FIG101,1900,2024,250 (1900),"58,131 (2024)",232.5×,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,all_bachelors,Expansion of US higher education,"Bachelor’s degrees awarded, all fields",FIG102,1900,2025,"27,410 (1900)","2,041,806 (2025)",74.5×,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,all_masters,Expansion of US higher education,"Master’s degrees awarded, all fields",FIG102,1900,2025,"1,583 (1900)","983,036 (2025)",621.0×,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,all_doctorates,Expansion of US higher education,"Doctorates awarded, all fields",FIG102,1900,2025,382 (1900),"217,917 (2025)",570.5×,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,stem_total,Growth and composition of STEM training,Total STEM degrees awarded,FIG102 + FIG103,1995,2025,"305,580 (1995)","791,638 (2025)",2.6×,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,stem_bachelors,Growth and composition of STEM training,STEM bachelor’s degrees awarded,FIG102 + FIG103,1995,2025,"222,915 (1995)","521,226 (2025)",+134%,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,stem_masters,Growth and composition of STEM training,STEM master’s degrees awarded,FIG102 + FIG103,1995,2025,"63,842 (1995)","230,479 (2025)",+261%,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,stem_doctorates,Growth and composition of STEM training,STEM doctorates awarded,FIG102 + FIG103,1995,2025,"18,823 (1995)","39,933 (2025)",+112%,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,stem_md_ratio,Growth and composition of STEM training,Master’s-to-doctorate ratio in STEM,FIG102 + FIG103,1995,2025,3.4:1 (1995),5.8:1 (2025),1.7×,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,stem_share_bachelors,Growth and composition of STEM training,STEM share of bachelor’s degrees,FIG102 + FIG103,1995,2025,19.2% (1995),25.5% (2025),+6.3 pp,First nonmissing observation → latest nonmissing observation,
