Company Normalized,Cognizant Technology Solutions,Infosys Limited, Tata Consultancy,WIPRO Limited ,Google Inc,Deloitte and Subsidiaries,HCL Technologies Limited and Subsidiaries,Accenture and Subsidiaries,IBM and subsidiaries,Capgemini America Inc,Top 10 Companies by Count,All Other Companies,Total
2009,0.045206275421266706,0.10395119116792563,0.010807669959325973,0.1068274259151656,0.01545613015688553,0.04247530505520047,0.013219058686809995,0.016472980825101687,0.04997094712376525,0.01031377106333527,0.4147007553747821,0.5852992446252179,1
2010,0.19207392535958856,0.19732680619344903,0.007838068259948846,0.08822639641374,0.022084101097329556,0.03798025356838371,0.01050576166772091,0.017518770110833037,0.04372817029234619,0.009900717802040647,0.6271829707653805,0.37281702923461946,1
2011,0.17285688503880167,0.1802021295794983,0.03410936654033568,0.1006677495036997,0.02086266016964447,0.03607652048366721,0.029074174336762317,0.029976538530951093,0.03156469951272334,0.011857065511640497,0.6472477892077242,0.3527522107922758,1
2012,0.2134807512987878,0.13147728786465965,0.09224723591314773,0.09517783402157987,0.01686426002397762,0.006420674037564939,0.03840415612095378,0.05833222325829226,0.015398960969761556,0.00803250299720261,0.6758358865059279,0.32416411349407215,1
2013,0.16151112968962275,0.1680295746681994,0.07445919113804995,0.09131048176402969,0.02171073257393667,0.005499529731424391,0.03571428571428571,0.05524349461803741,0.015427421883164386,0.013690040756609886,0.6425958825373602,0.3574041174626398,1
2014,0.19525690871173618,0.10849585529694099,0.09234670886473911,0.096926317554468,0.02087547027446213,0.00397178877209897,0.02875616989614663,0.047787221110214516,0.011380903974932669,0.01662073085105268,0.6224180753067918,0.37758192469320817,1
2015,0.20491152040447816,0.11201396412664018,0.09702660406885759,0.07863247863247863,0.027723606596846032,0.005043938846755748,0.038593956903816055,0.03220175755387023,0.011123149151318165,0.01758757674250632,0.6248585530275671,0.3751414469724329,1
2016,0.20080691851208568,0.1252713851498046,0.10537885366912722,0.06477058908669851,0.024144232160949484,0.006232812273845708,0.03694456506006658,0.03321754233608337,0.031308800115791,0.018879360254740195,0.6469550586191923,0.35304494138080766,1
2017,0.22075915559661805,0.10740599840063353,0.11159851243390967,0.053081886010201786,0.021801072973035924,0.030155045380082453,0.038206225106947926,0.024293289648372296,0.030092934061070956,0.02589265611291838,0.6632867757237909,0.3367132242762091,1
2018,0.11198404397635785,0.07251964098946805,0.1067180697103106,0.03843066669909761,0.04139809792523046,0.06989273465813733,0.031924208887699757,0.03152287597596867,0.03234986500620242,0.03547539707635054,0.5722156009048233,0.42778439909517674,1
2019,0.1366821348094949,0.056652501826338374,0.07829075306876293,0.03219500149193839,0.06222926462871312,0.0662420644311599,0.028676084742100445,0.03003426313677474,0.030209180051240368,0.0363827182088508,0.557593966395374,0.44240603360462605,1
2020,0.13458099131323453,0.0897784509818235,0.07684867508577269,0.03273049127673553,0.053069567121687714,0.05029564201766552,0.04220198554639025,0.03728374333892985,0.028724724432440323,0.04344295204029491,0.5889572231549748,0.4110427768450252,1
2021,0.09599058402990443,0.09670985952331651,0.11469174685861877,0.03194237077561874,0.07043450778670213,0.042284680521801676,0.035865691648775594,0.028095336697217713,0.03423097461829357,0.0324218877712268,0.5826676402314759,0.4173323597685241,1
2022,0.0678618577974018,0.07880051919812733,0.11060695148603823,0.025161140017084725,0.0933780050810415,0.05829884955457682,0.037919213658904584,0.02418487003405851,0.033980851795560194,0.034613208489111265,0.5648054671119049,0.43519453288809506,1
2023,0.10048295154650058,0.09366093106724374,0.09296157500263907,0.03184049403568035,0.07183574369260003,0.049034096906998836,0.04016678982370949,0.02814578275097646,0.03228913754882297,0.037211020795946376,0.5776285231711179,0.4223714768288821,1
2024,0.09829071119095424,0.10386505336574026,0.09884550354010356,0.021531226883652117,0.07037937229208496,0.04509669238085174,0.041305611328331396,0.028188735073443938,0.038082531966606784,0.0367087604353799,0.5822941984571489,0.4177058015428511,1
2025,0.05966510258533444,0.04367160425675468,0.09263348360781427,0.027647437666758673,0.08338700279081179,0.060355138467200295,0.03684791609163676,0.028245468764375746,0.030576256632011533,0.03302971754531236,0.49605912840801053,0.5039408715919895,1
