Year,Received,Approved,Denied,Approval Rate
2008,190,81,5,0.9418604651162791
2009,441,398,58,0.8728070175438597
2010,567,540,32,0.9440559440559441
2011,1010,906,33,0.9648562300319489
2012,1248,1188,74,0.9413629160063391
2013,2167,2036,51,0.975563009103977
2014,2213,2156,63,0.9716088328075709
2015,2191,2091,74,0.9658198614318707
2016,2893,2532,185,0.9319101950680898
2017,2439,2532,128,0.9518796992481203
2018,3509,2840,106,0.9640190088255262
2019,5324,5551,193,0.966399721448468
2020,5451,4611,157,0.9670721476510067
2021,5935,5992,297,0.952774685959612
2022,11229,11193,147,0.987037037037037
2023,12605,11136,146,0.9870590320865095
2024,18995,14321,328,0.9776093931326371
2025,22285,18745,797,0.9592160475
